Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
76,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-Communication,Communication,,CBSE,>90K,>300,250,1350,337500,3.38,New-25-26,Full year
77,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-STEM,STEM,,CBSE,>90K,> 300,300,1350,405000,4.05,New-25-26,Full year
78,25-26,Dec'24,South 2,Chennai,Event,Gayathiri,Nathella vidyodaya,Nathella vidyodaya-Financial Literacy,Financial Literacy,,CBSE,60K-90K,>300,200,1350,270000,2.7,New-25-26,Full year
93,25-26,Jan'25,South 1,Bangalore,Direct,Sudha,St. Dominics,St. Dominics-Communication,Communication,,ICSE,30K-60K,< 1000,1150,1370,1575500,15.76,New-25-26,Full year
94,25-26,Jan'25,South 1,Bangalore,Direct,Sudha,St. Dominics,St. Dominics-STEM,STEM,,ICSE,30K-60K,<1000,604,1400,845600,8.46,New-25-26,Full year
228,25-26,Jun'25,South 1,Bangalore,Direct,Sudha,New Horizon,New Horizon-Communication,Communication,,CBSE,<120K,> 300,20,4999,99980,1,New-25-26,Full year
88,25-26,Jan'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Bowrampet","Unicent School, Bowrampet-Communication",Communication,,CBSE,< 120K,>750,650,1100,715000,7.15,New-25-26,Full year
173,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Bowrampet","Unicent School, Bowrampet-Financial Literacy",Financial Literacy,,CBSE,<120K,> 300,230,1200,276000,2.76,New-25-26,Full year
89,25-26,Jan'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Miyapur","Unicent School, Miyapur-Communication",Communication,,CBSE,<120K,> 300,300,1100,330000,3.3,New-25-26,Full year
113,25-26,Feb'25,West,Mumbai,Direct,Rohit Gadre,Cambria International School Kalyan,Cambria International School Kalyan -Cambirdge,Cambirdge,,IB,60K-90K,>500,450,1275,573750,5.74,Renewal-25-26,Full year
114,25-26,Feb'25,West,Mumbai,Direct,Rohit Gadre,Cambria International School Kalyan,Cambria International School Kalyan -Financial Literacy,Financial Literacy,,IB,60K-90K,> 300,180,2400,432000,4.32,Renewal-25-26,Full year
158,25-26,Mar'25,West,Mumbai,,Kshitija,NKT English Medium School,NKT English Medium School-Communication,Communication,,State Board,30K-60K,>750,630,800,504000,5.04,Renewal-25-26,Full year
159,25-26,Mar'25,West,Mumbai,,Kshitija,NKT English Medium School,NKT English Medium School-STEM,STEM,,State Board,30K-60K,>750,630,800,504000,5.04,Renewal-25-26,Full year
198,25-26,Apr'25,West,Mumbai,FSM,Kshitija,"Billabong High International School, Malad","Billabong High International School, Malad-Communication",Communication,,IB,<120K,>750,665,994,661010,6.61,Renewal-25-26,Full year
199,25-26,Apr'25,West,Mumbai,FSM,Kshitija,"Billabong High International School,Juhu","Billabong High International School,Juhu-Communication",Communication,,IB,<120K,> 300,91,2877,261807,2.62,Renewal-25-26,Full year
70,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Apex International School,Apex International School-Communication,Communication,,CBSE,30K-60K,<1000,1200,1050,1260000,12.6,New-25-26,Full year
71,25-26,Dec'24,West,Pune,Channel Partner,Shantanu,Apex International School,Apex International School-Financial Literacy,Financial Literacy,,CBSE,30K-60K,>500,500,1050,525000,5.25,New-25-26,Full year
60,25-26,Nov'24,West,Pune,Direct,Nisha,RKL Galaxy International School,RKL Galaxy International School-Communication,Communication,,CBSE,>30K,<1000,1767,690,1219230,12.19,Renewal-25-26,Full year
61,25-26,Nov'24,West,Pune,Direct,Nisha,RKL Galaxy International School,RKL Galaxy International School-Financial Literacy,Financial Literacy,,CBSE,>30K,>750,697,690,480930,4.81,Renewal-25-26,Full year
103,25-26,Jan'25,South 1,Hyderabad,Event,Thanuja,Sri Vidya Vihar School,Sri Vidya Vihar School-Communication,Communication,,ICSE,90K-120K,>500,500,1258,629000,6.29,New-25-26,Full year
104,25-26,Jan'25,South 1,Hyderabad,Event,Thanuja,Sri Vidya Vihar School,Sri Vidya Vihar School-STEM,STEM,,ICSE,90K-120K,>500,500,1258,629000,6.29,New-25-26,Full year
